"","title","author","tags"
"89","How to start a career in Business Analytics?","Kunal Jain","Analytics training"
"90","How to start a career in Business Analytics?","Kunal Jain","Business Analytics"
"91","How to start a career in Business Analytics?","Kunal Jain","Business Intelligence"
"92","How to start a career in Business Analytics?","Kunal Jain","career"
"93","How to start a career in Business Analytics?","Kunal Jain","job"
"94","How to start a career in Business Analytics?","Kunal Jain","training"
"95","Common data preparation mistakes and how to avoid them?","Kunal Jain","bias"
"96","Common data preparation mistakes and how to avoid them?","Kunal Jain","Business Analyst"
"97","Common data preparation mistakes and how to avoid them?","Kunal Jain","Business Analytics"
"98","Common data preparation mistakes and how to avoid them?","Kunal Jain","Business Intelligence"
"99","Common data preparation mistakes and how to avoid them?","Kunal Jain","error"
"100","Common myths about a career in Business Analytics: Busted!","Kunal Jain","Analytics"
"101","Common myths about a career in Business Analytics: Busted!","Kunal Jain","Business Analytics"
"102","Common myths about a career in Business Analytics: Busted!","Kunal Jain","career"
"103","How to create compelling analytical stories using infographics?","Kunal Jain","Business Analytics"
"104","How to create compelling analytical stories using infographics?","Kunal Jain","infographics"
"105","How to create compelling analytical stories using infographics?","Kunal Jain","visualization"
"106","Importance of Segmentation and how to create one?","Kunal Jain","Business Analytics"
"107","Importance of Segmentation and how to create one?","Kunal Jain","Segmentation"
"108","Importance of Segmentation and how to create one?","Kunal Jain","web analytics"
"109","Five habits of highly successful analysts","Kunal Jain","Analytics"
"110","Five habits of highly successful analysts","Kunal Jain","Business Analyst"
"111","Five habits of highly successful analysts","Kunal Jain","Business Analytics"
"112","Five habits of highly successful analysts","Kunal Jain","Business Intelligence"
"113","Five habits of highly successful analysts","Kunal Jain","successful analyst"
"114","Taking a new job in Analytics? Ask these 5 questions first!","Kunal Jain","Business Analyst"
"115","Taking a new job in Analytics? Ask these 5 questions first!","Kunal Jain","Business Analytics"
"116","Taking a new job in Analytics? Ask these 5 questions first!","Kunal Jain","interview"
"117","Taking a new job in Analytics? Ask these 5 questions first!","Kunal Jain","interview questions"
"118","Taking a new job in Analytics? Ask these 5 questions first!","Kunal Jain","job"
"119","Taking a new job in Analytics? Ask these 5 questions first!","Kunal Jain","questions"
"120","How to create a High performance Analytics team?","Kunal Jain","Analytics"
"121","How to create a High performance Analytics team?","Kunal Jain","Business Analyst"
"122","How to create a High performance Analytics team?","Kunal Jain","Business Analytics"
"123","How to create a High performance Analytics team?","Kunal Jain","high performance analytics"
"124","Must read books on data visualization","Kunal Jain","books"
"125","Must read books on data visualization","Kunal Jain","Business Analytics"
"126","Must read books on data visualization","Kunal Jain","Business Intelligence"
"127","Must read books on data visualization","Kunal Jain","data visualization"
"128","Must read books on data visualization","Kunal Jain","visualization"
"129","Upcoming trends in data visualization","Kunal Jain","Analytics"
"130","Upcoming trends in data visualization","Kunal Jain","Big data"
"131","Upcoming trends in data visualization","Kunal Jain","Business Analytics"
"132","Upcoming trends in data visualization","Kunal Jain","visualization"
"133","Analytics training recommendations from last 2 months","Kunal Jain","graph"
"134","Analytics training recommendations from last 2 months","Kunal Jain","network analysis"
"135","Analytics training recommendations from last 2 months","Kunal Jain","R"
"136","Analytics training recommendations from last 2 months","Kunal Jain","tableau"
"137","Analytics training recommendations from last 2 months","Kunal Jain","training"
"138","Analytics training recommendations from last 2 months","Kunal Jain","web analytics"
"139","Festive season special: Building models on seasonal data","Tavish Srivastava","Analytics"
"140","Festive season special: Building models on seasonal data","Tavish Srivastava","Analytics training"
"141","Festive season special: Building models on seasonal data","Tavish Srivastava","BA"
"142","Festive season special: Building models on seasonal data","Tavish Srivastava","bias"
"143","Festive season special: Building models on seasonal data","Tavish Srivastava","Business Analyst"
"144","Festive season special: Building models on seasonal data","Tavish Srivastava","Descriptive modelling"
"145","Festive season special: Building models on seasonal data","Tavish Srivastava","Out of time"
"146","Festive season special: Building models on seasonal data","Tavish Srivastava","Predictive modeling"
"147","Festive season special: Building models on seasonal data","Tavish Srivastava","SAS"
"148","Festive season special: Building models on seasonal data","Tavish Srivastava","Seasonality"
"149","Festive season special: Building models on seasonal data","Tavish Srivastava","training"
"150","News: Edvancer Eduventures start CBAP course in Mumbai","Kunal Jain","Analytics training"
"151","News: Edvancer Eduventures start CBAP course in Mumbai","Kunal Jain","Business Analytics"
"152","News: Edvancer Eduventures start CBAP course in Mumbai","Kunal Jain","Business Intelligence"
"153","News: Edvancer Eduventures start CBAP course in Mumbai","Kunal Jain","career"
"154","News: Edvancer Eduventures start CBAP course in Mumbai","Kunal Jain","job"
"155","News: Edvancer Eduventures start CBAP course in Mumbai","Kunal Jain","training"
"156","Must read books (and blogs) on Web Analytics","Kunal Jain","avinash kaushik"
"157","Must read books (and blogs) on Web Analytics","Kunal Jain","blogs"
"158","Must read books (and blogs) on Web Analytics","Kunal Jain","books"
"159","Must read books (and blogs) on Web Analytics","Kunal Jain","Business Analytics"
"160","Must read books (and blogs) on Web Analytics","Kunal Jain","web analytics"
"161","Four rules for creating insightful and actionable reports (or metrics)","Kunal Jain","actionable insights"
"162","Four rules for creating insightful and actionable reports (or metrics)","Kunal Jain","Business Analytics"
"163","Four rules for creating insightful and actionable reports (or metrics)","Kunal Jain","Business Intelligence"
"164","Four rules for creating insightful and actionable reports (or metrics)","Kunal Jain","insightful reports"
"165","Four rules for creating insightful and actionable reports (or metrics)","Kunal Jain","insights"
"166","Four rules for creating insightful and actionable reports (or metrics)","Kunal Jain","Jobs- MIS"
"167","Four rules for creating insightful and actionable reports (or metrics)","Kunal Jain","reporting"
"168","Segmentation of customers for effective implementation of analytical projects","Kunal Jain","customer segmentation"
"169","Segmentation of customers for effective implementation of analytical projects","Kunal Jain","ianalytics"
"170","Segmentation of customers for effective implementation of analytical projects","Kunal Jain","implementation"
"171","Segmentation of customers for effective implementation of analytical projects","Kunal Jain","implementation strategy"
"172","Segmentation of customers for effective implementation of analytical projects","Kunal Jain","Segmentation"
"173","Trick to enhance power of Regression model","Tavish Srivastava","Business Analytics"
"174","Trick to enhance power of Regression model","Tavish Srivastava","decision tree"
"175","Trick to enhance power of Regression model","Tavish Srivastava","Predictive modeling"
"176","Trick to enhance power of Regression model","Tavish Srivastava","regression"
"177","Some tricky SAS interview questions","Tavish Srivastava","Analytics"
"178","Some tricky SAS interview questions","Tavish Srivastava","base SAS"
"179","Some tricky SAS interview questions","Tavish Srivastava","Business Analytics"
"180","Some tricky SAS interview questions","Tavish Srivastava","interview"
"181","Some tricky SAS interview questions","Tavish Srivastava","interview questions"
"182","Some tricky SAS interview questions","Tavish Srivastava","SAS"
"183","Challenges using Clustering with uniform population","Tavish Srivastava","Analytics"
"184","Challenges using Clustering with uniform population","Tavish Srivastava","Business Analytics"
"185","Challenges using Clustering with uniform population","Tavish Srivastava","clustering"
"186","Challenges using Clustering with uniform population","Tavish Srivastava","Segmentation"
"187","Challenges using Clustering with uniform population","Tavish Srivastava","uniform population"
"188","How to perform clustering analysis","Tavish Srivastava","Analytics"
"189","How to perform clustering analysis","Tavish Srivastava","Business Analytics"
"190","How to perform clustering analysis","Tavish Srivastava","clustering"
"191","How to perform clustering analysis","Tavish Srivastava","portfolio clustering"
"192","Application of Envelopment Analysis to business problems","Tavish Srivastava","Analytics"
"193","Application of Envelopment Analysis to business problems","Tavish Srivastava","bank branches"
"194","Application of Envelopment Analysis to business problems","Tavish Srivastava","efficiency"
"195","Application of Envelopment Analysis to business problems","Tavish Srivastava","efficient frontier"
"196","Application of Envelopment Analysis to business problems","Tavish Srivastava","envelopment"
"197","Application of Envelopment Analysis to business problems","Tavish Srivastava","inefficient branches"
"198","Application of Envelopment Analysis to business problems","Tavish Srivastava","optimization"
"199","Interview with data scientist and top Kaggler, Mr. Steve Donoho","Kunal Jain","Analytics"
"200","Interview with data scientist and top Kaggler, Mr. Steve Donoho","Kunal Jain","Business Analytics"
"201","Interview with data scientist and top Kaggler, Mr. Steve Donoho","Kunal Jain","data scientist"
"202","Interview with data scientist and top Kaggler, Mr. Steve Donoho","Kunal Jain","interview"
"203","Interview with data scientist and top Kaggler, Mr. Steve Donoho","Kunal Jain","kaggle"
"204","Interview with data scientist and top Kaggler, Mr. Steve Donoho","Kunal Jain","kaggler"
"205","Questions to ask while designing A/B (or multi-variate) testing","Kunal Jain","A/B testing"
"206","Questions to ask while designing A/B (or multi-variate) testing","Kunal Jain","Analytics"
"207","Questions to ask while designing A/B (or multi-variate) testing","Kunal Jain","designing test"
"208","Questions to ask while designing A/B (or multi-variate) testing","Kunal Jain","experimentation"
"209","Questions to ask while designing A/B (or multi-variate) testing","Kunal Jain","multivariate testing"
"210","Questions to ask while designing A/B (or multi-variate) testing","Kunal Jain","testing"
"211","Simple manipulations to extract maximum information out of your data","Kunal Jain","Analytics"
"212","Simple manipulations to extract maximum information out of your data","Kunal Jain","Business Analytics"
"213","Simple manipulations to extract maximum information out of your data","Kunal Jain","data manipulation"
"214","Simple manipulations to extract maximum information out of your data","Kunal Jain","data mining"
"215","Simple manipulations to extract maximum information out of your data","Kunal Jain","data transformation"
"216","Review: Tableau 8.1","Kunal Jain","Business Intelligence"
"217","Review: Tableau 8.1","Kunal Jain","data discovery"
"218","Review: Tableau 8.1","Kunal Jain","Features"
"219","Review: Tableau 8.1","Kunal Jain","Review"
"220","Review: Tableau 8.1","Kunal Jain","tableau"
"221","Review: Tableau 8.1","Kunal Jain","Tableau 8.1"
"222","How do banks identify the next best product need of its customer?","Tavish Srivastava","Analytics"
"223","How do banks identify the next best product need of its customer?","Tavish Srivastava","banks"
"224","How do banks identify the next best product need of its customer?","Tavish Srivastava","Business Analytics"
"225","How do banks identify the next best product need of its customer?","Tavish Srivastava","campaign"
"226","How do banks identify the next best product need of its customer?","Tavish Srivastava","customer segmentation"
"227","How do banks identify the next best product need of its customer?","Tavish Srivastava","Segmentation"
"228","How do banks identify the next best product need of its customer?","Tavish Srivastava","targeting"
"229","How do banks identify the next best product need of its customer?","Tavish Srivastava","X-sell"
"230","Extracting right variables for your Regression model","Tavish Srivastava","Analytics"
"231","Extracting right variables for your Regression model","Tavish Srivastava","Business Analytics"
"232","Extracting right variables for your Regression model","Tavish Srivastava","create variables"
"233","Extracting right variables for your Regression model","Tavish Srivastava","Linear-regression"
"234","Extracting right variables for your Regression model","Tavish Srivastava","logistic regression"
"235","Extracting right variables for your Regression model","Tavish Srivastava","regression"
"236","Extracting right variables for your Regression model","Tavish Srivastava","select variables"
"237","Extracting right variables for your Regression model","Tavish Srivastava","variable selection"
"238","Highlights of 2013 for Analytics Vidhya","Kunal Jain","Analytics training"
"239","Highlights of 2013 for Analytics Vidhya","Kunal Jain","Analytics Vidhya"
"240","Highlights of 2013 for Analytics Vidhya","Kunal Jain","Business Analytics"
"241","Highlights of 2013 for Analytics Vidhya","Kunal Jain","clustering"
"242","Highlights of 2013 for Analytics Vidhya","Kunal Jain","Linear-regression"
"243","Highlights of 2013 for Analytics Vidhya","Kunal Jain","Qlikview"
"244","Highlights of 2013 for Analytics Vidhya","Kunal Jain","regression"
"245","Highlights of 2013 for Analytics Vidhya","Kunal Jain","SAS"
"246","Highlights of 2013 for Analytics Vidhya","Kunal Jain","Segmentation"
"247","Framework to check accuracy of your datasets","Kunal Jain","Analytics"
"248","Framework to check accuracy of your datasets","Kunal Jain","Business Analytics"
"249","Framework to check accuracy of your datasets","Kunal Jain","Business Intelligence"
"250","Framework to check accuracy of your datasets","Kunal Jain","data accuracy"
"251","Framework to check accuracy of your datasets","Kunal Jain","errors"
"252","Framework to check accuracy of your datasets","Kunal Jain","intelligence"
"253","Diagnosing residual plots in linear regression model","Tavish Srivastava","Business Analytics"
"254","Diagnosing residual plots in linear regression model","Tavish Srivastava","Linear-regression"
"255","Diagnosing residual plots in linear regression model","Tavish Srivastava","Predictive modeling"
"256","Diagnosing residual plots in linear regression model","Tavish Srivastava","regression"
"257","Diagnosing residual plots in linear regression model","Tavish Srivastava","Residual"
"258","Diagnosing residual plots in linear regression model","Tavish Srivastava","residual plots"
"259","Diagnosing residual plots in linear regression model","Tavish Srivastava","SAS"
"260","Diagnosing residual plots in linear regression model","Tavish Srivastava","validation"
"261","Debate between benefits from big data and compromise on user privacy","Kunal Jain","Big data"
"262","Debate between benefits from big data and compromise on user privacy","Kunal Jain","customer privacy"
"263","Debate between benefits from big data and compromise on user privacy","Kunal Jain","privacy"
"264","Framework to build logistic regression in a rare event population","Tavish Srivastava","Analytics"
"265","Framework to build logistic regression in a rare event population","Tavish Srivastava","biased"
"266","Framework to build logistic regression in a rare event population","Tavish Srivastava","false positive"
"267","Framework to build logistic regression in a rare event population","Tavish Srivastava","logistic"
"268","Framework to build logistic regression in a rare event population","Tavish Srivastava","logistic regression"
"269","Framework to build logistic regression in a rare event population","Tavish Srivastava","rare event"
"270","Framework to build logistic regression in a rare event population","Tavish Srivastava","regression"
"271","Framework to build logistic regression in a rare event population","Tavish Srivastava","sample"
"272","My resolutions for 2014","Kunal Jain","2014"
"273","My resolutions for 2014","Kunal Jain","community"
"274","My resolutions for 2014","Kunal Jain","python"
"275","My resolutions for 2014","Kunal Jain","R"
"276","My resolutions for 2014","Kunal Jain","resolutions"
"277","Starting a big-data analytics practice? Answer these questions first","Kunal Jain","Analytics"
"278","Starting a big-data analytics practice? Answer these questions first","Kunal Jain","Big data"
"279","Starting a big-data analytics practice? Answer these questions first","Kunal Jain","starting analytics"
"280","Starting a big-data analytics practice? Answer these questions first","Kunal Jain","team formation"
"281","Tips to crack a guess estimate (Analytics case study)","Tavish Srivastava","Analytics"
"282","Tips to crack a guess estimate (Analytics case study)","Tavish Srivastava","case study"
"283","Tips to crack a guess estimate (Analytics case study)","Tavish Srivastava","estimate"
"284","Tips to crack a guess estimate (Analytics case study)","Tavish Srivastava","guess estimates"
"285","Tips to crack a guess estimate (Analytics case study)","Tavish Srivastava","interview"
"286","Tips for creating a winning dashboard","Kunal Jain","Dashboard"
"287","Tips for creating a winning dashboard","Kunal Jain","data visualization"
"288","Tips for creating a winning dashboard","Kunal Jain","Qlikview"
"289","Tips for creating a winning dashboard","Kunal Jain","visualization"
"290","Tips to train your brain on Analytical thinking","Tavish Srivastava","Business Analytics"
"291","Tips to train your brain on Analytical thinking","Tavish Srivastava","Predictive-power"
"292","Tips to train your brain on Analytical thinking","Tavish Srivastava","structured thinking"
"293","Demystifying LinkedIn using probabilities","Tavish Srivastava","application"
"294","Demystifying LinkedIn using probabilities","Tavish Srivastava","Business Analytics"
"295","Demystifying LinkedIn using probabilities","Tavish Srivastava","conditional probability"
"296","Demystifying LinkedIn using probabilities","Tavish Srivastava","linkedin"
"297","Demystifying LinkedIn using probabilities","Tavish Srivastava","probability"
"298","An analytics interview case study ","Tavish Srivastava","Analytics"
"299","An analytics interview case study ","Tavish Srivastava","Analytics training"
"300","An analytics interview case study ","Tavish Srivastava","Business Analytics"
"301","An analytics interview case study ","Tavish Srivastava","case study"
"302","An analytics interview case study ","Tavish Srivastava","expected value"
"303","An analytics interview case study ","Tavish Srivastava","interview"
"304","Learn Analytics using a business case study : Part I","Tavish Srivastava","analysis"
"305","Learn Analytics using a business case study : Part I","Tavish Srivastava","big data solution"
"306","Learn Analytics using a business case study : Part I","Tavish Srivastava","Business Analytics"
"307","Learn Analytics using a business case study : Part I","Tavish Srivastava","case study"
"308","Learn Analytics using a business case study : Part I","Tavish Srivastava","datamarts"
"309","Learn Analytics using a business case study : Part I","Tavish Srivastava","startup"
"310","Maintaining fearless monk-like attitude while leading Analytics teams","Kunal Jain","Analytics"
"311","Maintaining fearless monk-like attitude while leading Analytics teams","Kunal Jain","attitude"
"312","Maintaining fearless monk-like attitude while leading Analytics teams","Kunal Jain","leadership"
"313","Tools for improving structured thinking (for analysts)","Kunal Jain","Business Analyst"
"314","Tools for improving structured thinking (for analysts)","Kunal Jain","Business Analytics"
"315","Tools for improving structured thinking (for analysts)","Kunal Jain","discussion"
"316","Tools for improving structured thinking (for analysts)","Kunal Jain","presentation"
"317","Tools for improving structured thinking (for analysts)","Kunal Jain","structured thinking"
"318","Tools for improving structured thinking (for analysts)","Kunal Jain","structured writing"
"319","Progress on the resolutions for 2014 - Analytical trainings and books","Kunal Jain","book"
"320","Progress on the resolutions for 2014 - Analytical trainings and books","Kunal Jain","python"
"321","Progress on the resolutions for 2014 - Analytical trainings and books","Kunal Jain","resolutions"
"322","Progress on the resolutions for 2014 - Analytical trainings and books","Kunal Jain","self development"
"323","Progress on the resolutions for 2014 - Analytical trainings and books","Kunal Jain","training"
"324","How analytics help organizations becoming customer centric","Tavish Srivastava","Analytics"
"325","How analytics help organizations becoming customer centric","Tavish Srivastava","Business Analytics"
"326","How analytics help organizations becoming customer centric","Tavish Srivastava","customer centric"
"327","How analytics help organizations becoming customer centric","Tavish Srivastava","customer focus"
"328","How analytics help organizations becoming customer centric","Tavish Srivastava","customer modeling"
"329","How analytics help organizations becoming customer centric","Tavish Srivastava","marketing strategy"
"330","How analytics help organizations becoming customer centric","Tavish Srivastava","product centric"
"331","How analytics help organizations becoming customer centric","Tavish Srivastava","Segmentation"
"332","Head - Data Infrastructure, Banking (10-16 yrs)","Kunal Jain","banking"
"333","Head - Data Infrastructure, Banking (10-16 yrs)","Kunal Jain","data infrastructure"
"334","Head - Data Infrastructure, Banking (10-16 yrs)","Kunal Jain","reporting"
"335","Head - Data Infrastructure, Banking (10-16 yrs)","Kunal Jain","strategy"
"336","Head - Data Infrastructure, Banking (10-16 yrs)","Kunal Jain","team management"
"337","Head – Machine Learning, Hiring Domain start-up (8-14 yrs)","Kunal Jain","data management"
"338","Head – Machine Learning, Hiring Domain start-up (8-14 yrs)","Kunal Jain","job"
"339","Head – Machine Learning, Hiring Domain start-up (8-14 yrs)","Kunal Jain","machine learning"
"340","Head – Machine Learning, Hiring Domain start-up (8-14 yrs)","Kunal Jain","product development"
"341","Head – Machine Learning, Hiring Domain start-up (8-14 yrs)","Kunal Jain","start-up"
"342","Interview with Mr. Srikanth Velamakanni, CEO, Fractal Analytics - Part II","Kunal Jain","attrition"
"343","Interview with Mr. Srikanth Velamakanni, CEO, Fractal Analytics - Part II","Kunal Jain","Fractal"
"344","Interview with Mr. Srikanth Velamakanni, CEO, Fractal Analytics - Part II","Kunal Jain","hiring"
"345","Interview with Mr. Srikanth Velamakanni, CEO, Fractal Analytics - Part II","Kunal Jain","interview"
"346","Part III - Interview with Mr. Srikanth Velamakanni, CEO, Fractal Analytics","Kunal Jain","Big data"
"347","Part III - Interview with Mr. Srikanth Velamakanni, CEO, Fractal Analytics","Kunal Jain","career"
"348","Part III - Interview with Mr. Srikanth Velamakanni, CEO, Fractal Analytics","Kunal Jain","career advice"
"349","Part III - Interview with Mr. Srikanth Velamakanni, CEO, Fractal Analytics","Kunal Jain","data scientist"
"350","Part III - Interview with Mr. Srikanth Velamakanni, CEO, Fractal Analytics","Kunal Jain","Fractal"
"351","Part III - Interview with Mr. Srikanth Velamakanni, CEO, Fractal Analytics","Kunal Jain","interview"
"352","Part III - Interview with Mr. Srikanth Velamakanni, CEO, Fractal Analytics","Kunal Jain","Srikanth Velamakanni"
"353","Interview with Mr. Srikanth Velamakanni, CEO, Fractal Analytics","Kunal Jain","Capital One"
"354","Interview with Mr. Srikanth Velamakanni, CEO, Fractal Analytics","Kunal Jain","CItibank"
"355","Interview with Mr. Srikanth Velamakanni, CEO, Fractal Analytics","Kunal Jain","Fractal"
"356","Interview with Mr. Srikanth Velamakanni, CEO, Fractal Analytics","Kunal Jain","ICICI"
"357","Interview with Mr. Srikanth Velamakanni, CEO, Fractal Analytics","Kunal Jain","interview"
"358","Interview with Mr. Srikanth Velamakanni, CEO, Fractal Analytics","Kunal Jain","Srikanth Velamakanni"
"359","Interview with Mr. Srikanth Velamakanni, CEO, Fractal Analytics","Kunal Jain","startup"
"360","Learn Analytics using a business case study : Part II","Tavish Srivastava","analysis"
"361","Learn Analytics using a business case study : Part II","Tavish Srivastava","Analytics"
"362","Learn Analytics using a business case study : Part II","Tavish Srivastava","business"
"363","Learn Analytics using a business case study : Part II","Tavish Srivastava","case study"
"364","Learn Analytics using a business case study : Part II","Tavish Srivastava","marketing analytics"
"365","Learn Analytics using a business case study : Part II","Tavish Srivastava","mass media"
"366","Learn Analytics using a business case study : Part II","Tavish Srivastava","portfolio"
"367","Learn Analytics using a business case study : Part II","Tavish Srivastava","theme"
"368","Learn Analytics using a business case study : Part III","Tavish Srivastava","Business Analytics"
"369","Learn Analytics using a business case study : Part III","Tavish Srivastava","case study"
"370","Learn Analytics using a business case study : Part III","Tavish Srivastava","customer centric"
"371","Learn Analytics using a business case study : Part III","Tavish Srivastava","implementation strategy"
"372","Learn Analytics using a business case study : Part III","Tavish Srivastava","marketing"
"373","SAS vs. R (vs. Python) - which tool should I learn?","Kunal Jain","Analytics"
"374","SAS vs. R (vs. Python) - which tool should I learn?","Kunal Jain","Business Analytics"
"375","SAS vs. R (vs. Python) - which tool should I learn?","Kunal Jain","python"
"376","SAS vs. R (vs. Python) - which tool should I learn?","Kunal Jain","R"
"377","SAS vs. R (vs. Python) - which tool should I learn?","Kunal Jain","SAS"
"378","Sr Business Analyst - Analytics - BFSI - Startup (3-5 yrs)","Kunal Jain","Business Analytics"
